Text,True Label,Predicted Label
يا حبيبي سعد الحريري باع دم بيو كرمال يعمر سوريا تفه شو واطي رح تروحو تحت الدعس طول بالك انت بدك تحكي رايس وليد بيك جنبلاط يا وطي,hate,abusive
هو وغيره من العملاء ممن يسمون انفسهم زعماء للعرب هم عملاء لدي الصهيوني والامريكي كفانا قرف اسمه زعماء,normal,hate
كان زهايمر ياتي في عمر متاخر بس ها الزمن بلش الزهايمر من عندك للعمر متاخر محتاج الي حكيم نفساني ليعالج هواجس عقلك,abusive,normal
الاناء ينضح بما فيه عثمان رجل دوله وانت قاتل محمد ابو ذياب,abusive,normal
يريد اعمار سوريا والزباله تطمره في بيروت,normal,abusive
يتيم المجد يدفع لكم ملياردولار واخرتها تحطون صورته وتكتبون تميم العنز مالكم حل اخذتم الفل,normal,abusive
الروس المفروض ينشهروا بالوقاحه مو بالڤودكا,hate,abusive
كذبك يا ايوب بكفي كذب وافتراء بحق جبران باسيل,normal,abusive
مياومو الاعلام وشايعاتكم ما رح تغبروا عل صرمايه الوزير الملك جبران باسيل يلي بتشرف اعلامكم واصحاب محطاتكم الماجورين للخارج تفه,hate,abusive
وافسم بالله انك كبير المنافقين هي قطر اللي دمرت سوريا و السعوديه بتعمل ايه بالوطن العربي بالله عليك كم,normal,abusive
ما حارقلكم قلبكم غير لبنان يا كلاب,abusive,hate
بس ولاك ما حدا قاهركن الا جبران باسيل اندال,abusive,normal
تفيييييي علي احسن شيخ بسوريا ازا ما بدهن حرق العمي هدول باعو اخرتهم بدنياهم,hate,abusive
هلق رجع لمن قلو الريس تبعو هش قلو مشمو علي عيني ؟,normal,abusive
والله انك كذاب يا اصلع الراس والاخلاق بس ماقصر الزول نتف باقي الشعر,hate,abusive
كذبك يا ايوب,normal,abusive
قد يكون كما تدعين لكن له مبدا واضح مو متل العواهر الي عندك,hate,abusive
لك سيدي الله ياخذه مو مشكله المشكله بالجني الداشر العم يكتملي هالحسابات دون ادني درجه من درجات الادب و اللباقه,normal,abusive
مش لمظفر النواب هي يا فهيم هي لفادي عزام اذا بيعرف انك سارقها بغباوه بينجلط اساسا هو بهي القصيده,normal,abusive
انا مش عربيه انا فينيقيه لا يا شطوره انتي حماره,abusive,hate
تجلس المواطنين ع خازوق من قياس,normal,abusive
ميل ياغزيل ويا غزيل ميل حكيم زمانك هههه يا ويام,normal,abusive
كذبك يا ايوب بدو علاج جبران باسيل,normal,abusive
ما تبين كانك ماجور مفضوحه صارت الخبريه سوريه تشهد اعنف قصف من العدو الصهيوني و انت حاطط راسك بقطر,normal,abusive
عقبال ما نشوف الدوله لافه حبل المشنقه عليك,normal,abusive
يالطيف شو بشعه روحي عالمطبخ وسكتي حجه,hate,abusive
قاتل القتيل وماشي بجنازتو وعم توجه تمني لتاج راسك استحي من دم رفيقك الي انت وشيطانك الاكبر تامرتو علي قتلو,normal,abusive
ايوا فضحو حالكن يا كلاب سعوديه واحد ورا واحد اعلام سعودي قاطعوا ام تي في,abusive,hate
كيف كل زمن واله اتباعه الزقيفه بايام الاحتلال السوري للبنان، كان اشهرهم ناصر قنديل زال الوجود العسكري وتبخ,normal,hate
معاليك لي ما بتشتغلوا علي السكت وبلا حكي واذا طلع بايدكن ما تقصرو قرفنا منك انضبب,abusive,normal
يلي بدو يجيب سيره الوزير جبران باسيل بالعاطل بدو يسمع كلام اوسخ من اعمال حركه امل,hate,abusive
يا عيني ملا حريده ، جريده الاخبار للفتنه و للكذب بتحدي جريده الاخبار تحكي عن الفساد و السرقه في مجلس الحنوب,hate,normal
والله ماحدا مريض نفسي غيرك الله يشفيك,normal,abusive
هذا كابوس له ولعنه الايتام وسب الاموات في قبورهم,normal,abusive
بدل ما نجيب لكل وزاره وزير حسب اختصاصه منجيبهن حسب طوايفن واحزابن هبل يهبلنا,normal,abusive
ما نايكن الا جبران باسيل عن جديد منا وجر,abusive,normal
ديما اكتر شخص مستفز عا تي في هوا الحريه,normal,abusive
هلق السعوديه والامارات مناح حيرتن والله كلن اخري من بعض,hate,normal
قولي لضيفك ما يبلع ريقو احسن ما يتسمم ، مش مقبول الحقد هلقد علي الشيعه,abusive,normal
كلما شوف سكارليت بمقابله بحسها بدا الصرفه تخلص لان تاركه الطبخه عالنار,normal,abusive
لو بتخرس ولا احلالك انقلع شقفه مجنس لاجي عندنا,hate,abusive
انتقاما للمهاجرين لازم نبيد السوريين,hate,normal
اراكوز,abusive,normal
كول هوا يا كلب يا فلسطيني اشرف من عايلتك الجربانه يا لقيط,abusive,hate
بوق لايران وكلبها وعميلها حسن زميره ومويد لاجرامهم وتتكلم وتتهم امير قطر بدعم مايسمي الارهاب عجبي,abusive,hate
بلبنان هي اوطي صنف,abusive,hate
اه يا هبيله غنم,hate,abusive
الان دخلت صفحتك وعرفت انك من اللي مشغلهم نظام الحمارين كلاب تنبح ضد السعوديه,abusive,hate
ولا واحد من الحمير العرب القامعين علي السلطه انحنوا لا لكبير ولا لصغير,abusive,hate
والله لا اعلم علي ماذا تضحك علي هبلك او علي خسارت المعركه الانتخابيه في وجه البيك او علي العزله التي وضعوك فيها هههههه,abusive,normal
اصلا مع هيك عالم لازم نستخدم لغه الصرامي يا نعال الجنبلاط,hate,abusive
ما انت والرييس من فرد خميره، واللي جاب الرييس، وقفك علي اجريك ، وماشيين سوا بمخطط التفرقه,normal,abusive
اقترح ردم اللاجيين بالبحر علي طريقه ردم جبل النفايات بصيدا,hate,normal
ضحكو علي هالهبيله جبران باسيل ميشال عون جوزف عون جبران باسيل ميشال عون جوزف عون جبران باسيل ميشال,abusive,normal
شيعه جنوب لبنان معروفين عند اللبنانيين بالفوضويه ورفع الصوت وعندما يهزمون بالحجه الحل عندهم الفوضي,hate,normal
مي شدياق انتهت صلاحيتك بين الرجال ما عاد الك منفعه هههههه خرسي بقا حطي ايدك البلاستيك ب,hate,abusive
جبران باسيل عار علي العرب ككل ماهو الا فرخ مجوسي ابتليت به الامه العربيه,hate,abusive
هاد سعودي ، وانت خليك بحالك يا سوري ولا انت تقليد سوري,normal,hate
صباط ورح تضل,abusive,normal
اهااا فهمت عليك فرقت معك عل حرف واحد بين سوي و سوري قول هيدا حلمك انت و كتار متلك بس ما فشرت انت و يللي اكبر منك عماد اللو,abusive,normal
لو كل كلب عوي القمته حجرا لاصبح مثقال الحجر بدينار لازم يكون عندك ثروه هلق يا مليونير,normal,abusive
خرسي يا كلبه يا نوريه,hate,abusive
لو في دوله يا معالي الوزير حضرتك مكانك خلف القضبان لبذاءه لسانك واحتقارك القضاء والتمرد علي القوي الشرعيه,normal,abusive
بالنسبه الك بدك حبل واسطبل,abusive,normal
لو نحنا بدوله بتحترم حالها كنت انت اول واحد بينزت بالحبس,normal,abusive
هاي مثل ميل يا غزيل و يا غزيل ميل,normal,abusive
ما هم الا عبيد مامورين لسيدهم الاميركي والصهيوني ولكن خسيوا تحطمت موامرتهم علي اسوار دمشق المنيعه تحت ا,normal,hate
متشربين العنصريه لدرجه انو حتي لما بدهن يحكوا شي متطور وتقدمي بطلع رجعي وكريه,abusive,normal
و صاير مهزله هالمغرد,abusive,normal
ويام وهاب غريب كيف شايف سعد الحريري انت خليك علي مستوي عالي مثل ترامب و امثالو بس فيي قلك رحم الله امرء عرف حده فسكر بوزو,normal,abusive
واو واو قمه الساديه الوجه الاخر الجميل ل زينتنا,normal,abusive
دميم الكلب ليس له مكان بين العرب ا شراف انه حثاله وامير الشواذ والمخنثين مرحبا به في اي مكان او زمان,hate,abusive
الاجدب اهوه اسمه جبران باسيل الله يخلف علي اللبنانيين ولبنانهم خير,abusive,normal
لقاء الاقزام المعتوهين,hate,abusive
ام ركبه سودا خرسي يا كلبه غسب عنك تنبحي في منشني هههههههه,hate,abusive
الله ينصر المسلمين والعرب من داعم الارهاب المجرم تميم,abusive,hate
لازم يلغي هالنظام المعفن الكايفي الذي لا يستولد سوي طايفيين فاسدين عفنين,abusive,hate
السيد الرييس الكافر بشار الاسد يحتفل بعيد المولد النبوي الشريف القياده الحكيمه منحبك,hate,normal
كول هوا ياللبناني،،،، انفضحت الله يفضح كل الكلاب اللي مثلك,abusive,hate
جبران باسيل انت متعود علي تاديه الادوار القذره؛ فلا غرابه,abusive,normal
لا تشتري الجنبلاطي الا والعصا معه انهم لانجاس مناكيد,hate,normal
يا دعدع يا عزيزي ارجو منك ان تترفع عن التخاطب,normal,abusive
صدقت جبران باسيل مازال بالزباله ولم ولن يخرج هو واعوانه,hate,abusive
بالرغم من صفاقه جبران باسيل وكلامه الثقيل الذي لا يمثل سياسه لبنان الرسميه ولا يمثل اكثريه الشعب اللبناني الا ان العتب,abusive,normal
ما انت وجريده الاخبار كلاب تنبح الك عين تحكي يا قاتل الك عين تحكي وفار من العداله اكيد اهل الجاهليه بقو,hate,abusive
علي اساس انت شخصيه العصر لك مين قاريك يا قباري الناس بعفويتها رحبت بقطر لا اهلا ولا سهلا فيك,abusive,normal
هذا وتوه ماعطينهم مليون عطاهم الله سقم ولسه بكره بيرجعون يردحون ويسبون عمر ماينعدل,abusive,normal
كل واحد درزي عايش و عمبيشتغل بقطر يلا لبرا ما بدنا ياه لنشوف اذا فيك تتحمل مسووليتون يا ويام,hate,normal
شو بدك باسمي احترمي حالك واحترمي ديننا الشريف وتوقفي عن الكذب وقلب الحقايق والتغطيه علي من ن,abusive,normal
قال الفصعون بدو يفطر بالقدس لك يا عمو خلينا نفطر ب حلب بالاول بعدين نتحاكي,abusive,normal
لو كنت سوري يمكن كنا عذرناك بس انك تكون اعرابي وجاي تاكل هوا هون بحط البوط بتمك ولاك,hate,abusive
احن الي زمن لما كنا اذا اشترينا جينز وطلع في خيط منسل نرجعلو ياه ونجيب المصريات هههه هلق ما منقبل نلبسوا اذا مش اكلو الكلب,normal,abusive
مي شيدياق ناحسه سما هالحكومه يا جماعه غيروها بركي بيمشي الحال,hate,normal
تشبهك قطعت نصيبها الله يقطع نصيبك,normal,abusive
كفاكم هبل ايها الساده الجنبلاطيين لا اوامر من حزب البعث ولا من النظام الاسدي,normal,hate
كان الحرباي يدافع عن بشار اكتر من وهاب,abusive,normal
كل زق يا باطني,hate,abusive
جبران باسيل و الحفاظه وجهان لفايده واحده,abusive,normal
اذا هو مجرم انت شو بشرفك اصلا لو عنا دوله متل الخلق والعالم كنت هلق يا بالحبس يا مجنس سوري,hate,abusive
مكربج راسو جبران باسيل ومش شايف قدامو الا حصه القوات شيل وزير من حصتك ووزير من حصه عمك,normal,abusive
لعما شو واطي ولوووو انت بشك انك درزي ابصر ما بحط بدمتي انت نذل و القناه يلي ملفيتك انذل صرمايه وليد بيك عراصك يا حشره,abusive,hate
بحكيكي بالشرق بتجاوبي بالغرب,abusive,normal
ولك انت ومعلمينك شو مستواكم يا رخاص انقبر اطلع من الصفحه,abusive,normal
اقول انت مسكين ويمكن نايم امس من شرب الخمر اخبرك انه امس اسراييل قصفت دمشق ومطارها تضرر,normal,abusive
التنين نفس الخريه,abusive,hate
فشرتو يا عهار سيذهب بجنازه الطاغي والدعس علي قبره النتن,hate,abusive
هلق اذا انت واخواتك حمير في بيوت ولادها شاطرين ما تعممي تجربتك علي الغير,abusive,hate
الارهاب السعودي الي مزابل التاريخ وكل مين بشد علي مشدها السوال لماذا هذا الاستهتار ويجب علي سوريا,hate,normal
اشتقنا لحوارات دراما من نوع انت وحده كاسره وفاجره ولقيطه وبنت حقله,abusive,normal
سيري الناس كيف سيزحف كل من اساء لسوريا وحلفاء سوريا للاعتذار نادمين خانعين,normal,hate
جبران باسيل قلق من الخرق الاسراييلي اليومي ل استقلالهم وسيادتهم ولكن لم ترف عينه من محاوله عصابه السفاح تفجير مساجد في طرابلس,normal,abusive
رييس الشيشان الكلب,hate,abusive
العمي ما توقعت في ناس بهالجحاشه امريكا وبريطانيا وفرنسا تلت اعضاء دايمين بمجلس الامن طلعوا التلاته عملاء للمملكه البربريه,abusive,hate
قوم رجاع علي حضن الوطن و دافع عن السيد الرييس الدكتور المهندس الرايد الركن المظلي الفارس الذهبي يا انبطاحي لك قوم,abusive,normal
مخش ليعرفه الاول او ليعرف وين الجاهليه,normal,abusive
ماحدا بدو محاكمه ومشنقه غيرك,abusive,normal
ومن اللي رجع سفارته في دمشق ؟ اغبياء انتو؟؟؟,normal,abusive
شو بدك من علاء الخوجه؟ ما تعبت وانت تصرخ عليه انسي الموضوع ما رح يعطيك مصاري,normal,abusive
ستين عمرن ليجو طز بهيك رويساء عرب,abusive,hate
وانت يا محترمه وقت انخطف كان رييس حكومتك مش رييس الطايفه السنيه وما هتميتي حضرتك ويمكن شمتي ولي نزلوا يحتجوا نزلوا للتعبير عن الغضب لي دق بل العرض والشخصي وان شاء الله ما حدا شي يوم يهينك بل العرض او الشخصي,abusive,normal
وين صارت مذكره الجلب؟ عم يتهموك انك فار من وجه العداله، بشرفك مش طلبوا منك توقف هجومك عل قضاء ليشوفو كيف بدن يلفلفولك ياها ؟,normal,abusive
كان بدري عم يقبض حق تغريدته مبارح ضد قطر,abusive,normal
مهم انت تقول مين نسمي اهم شي و وين بحب قلك وجودك متل قلتك احترم حالك كرمال ما تضحك عليك الشعب,abusive,normal
هل تعتقد ان الحمار يستطيع القراءه او الفهم يارجل بيكفي لاحياه لمن تنادي,normal,abusive
انت صنفتو بخانه الخيانه وهيدا رد علي ردك ومش كل الادويه فعاله وان شاء الله الكل بيفتخر بشهاده الحريري,abusive,normal
هذا ردي له نعم انا سعودي وكلي فخر راسي فوق انتم ما قهركم وداعس علي روس,abusive,normal
الحين صار اسمه مدعوس باسيل,abusive,normal
الدفع مقابل النباح علي جبران باسيل,normal,abusive
روح انت خاد مناعه منهم وخليك عندهن تيقوي عضمك,normal,abusive
جبران باسيل قال ان لبنان سيلعب دور رييسا في اعاده الاعمار في الدول العربيه عندما يخرج راسه من زباله بيروت يستطيع ان يتح,normal,abusive
لو سمحت واحد صالونه لحم وعيش شلاني وواحد سف اب,normal,abusive
لازمك ستره صفرا بس وبيمشي حالك بس مشكلتك عندك مغص من اللون الاصفر,normal,abusive
مات كلب في المدينه فاسترحنا من عوواه خلف الملعون جروا فاق في النبح اباه,normal,abusive
لن ارد عليك يا ابن المتعه يا لطام النعال ليس لاني اكرهك واكره دينك فقط انا احتقركم,hate,abusive
بعد ان قتل مليون وسجن نصف مليون وهجر ونزح عشر ملايين لازال السوري الاهبل متفاجي من التعفيش بيجلطوا بلد هالسوريين,normal,hate
انها المومياء اللبنانيه فلبنان اصبح كالمومياء المحنطه تحمل التاريخ ولكن بدون حياه,normal,abusive
وهل انت لبناني ومن خولك من اللبنانيين ان تتحدث في امورهم اين صرامي اللبنانيين اللي تعلم ع وشك,abusive,hate
شي بيهوي,abusive,normal
يازينك ساكت جبران باسيل,normal,abusive
لو كان بيفهم لكان ضب لسانوا من زمانن مقهور من طلال ارسلان بدوا وزير كمان قال يلا بغرد بركي السوري بيشفق عليي,normal,abusive
هههههههه لقيتوا الدبس والنمس ؟؟؟؟ دعوه بصفته الشخصيه مشبصفه شيخ عقل المطران الغريب,normal,abusive
يلعن ابوكن شبيحه تفو عليكن وعلي الجحش بشار والجحش حسن زميره,hate,abusive
للامانه ينتابني شعور بالتقييء والقرف عندما ياتي اسمكم علي مخيلتي معالي الوزير خصوصا عندما استذكر اللغه,abusive,normal
بس بقي قرفنا يا زلمي,normal,abusive
البوطي شاف باسل الاسد يطير في الجنه مع الانبياء والمرسلين ونوال السعداوي شافت هيلاري كلنتون بتوزع دولارات علي متظاهري التحرير,normal,abusive
يا زلمي لي ما عم تفهموليد بيك زعيم الجبل الاول والاوحد حطا بدينتك,abusive,normal
نهاد المشنوق متل عثمان واضرب منه عميل للمخابرات معروف قديش سعرو,normal,abusive
طز فيك و باللقاء تبعكن لقاء الاوباش و قطاع الطرق ان دعوت شيخ عقل الاقطاع الارسلاني هو تدخل بشوون طايفه الم,abusive,hate
ليكو بيكتب عربي هايدا شو اسمو ايه والله لك ليخرب عقل لشو بدك فيما تقلع علي حالك و خليك باليت,normal,abusive
جنسهم جبران باسيل وقبص اللي فيه النصيب لك يلعن هيك سياسيين واطيين,hate,abusive
شاوري معلمك طنبر الجاهليه بالاول قبل ما تغيرييها بلكي الو راي تاني او مثل عادته بيستعين بصديق حبيت,abusive,normal
ههههههه علي فكره بس اقراي رد وليد بيك منيح حاجه تتحمرني,abusive,normal
